,Company,0216price,0216amt,0516price,0516amt,0816price,0816amt,1116price,1116amt,0216-0516chng,0516-0816chng
743,COTT CORP QUE,10.9885852003,129043,13.8929889299,162600,13.9562798173,98307,14.2509716572,87994,33557,-64293
744,COTY INC,25.6311787337,718695,27.8304226531,697546,25.9896150663,659802,23.5001956008,2313385,-21149,-37744
745,COUSINS PPTYS INC,9.42940669782,1072708,10.3801128604,1248445,10.399855782,2091279,10.439985337,1966861,175737,842834
746,COVANTA HLDG CORP,15.4897376555,1779759,16.8599837199,2143715,16.4499338701,1580979,15.3894974793,1531499,363956,-562736
747,COVISINT CORP,2.48262164846,18126,2.02995940081,14286,2.17727208878,14238,2.1612001017,15732,-3840,-48
748,COWEN GROUP INC NEW,3.84088321013,51811,3.81656539049,66814,2.94530964252,51947,3.62115252544,80085,15003,-14867
749,CPFL ENERGIA S A,7.41891912803,452357,10.9129490224,39586,12.8604085244,339025,14.800292092,1103762,-412771,299439
750,CPI CARD GROUP INC,10.662723952,57490,8.2443423892,72292,5.01313683448,99339,6.05062953241,44954,14802,27047
751,CRA INTL INC,18.6437847092,47898,19.6354776294,41863,25.2284883966,23743,26.599845798,28534,-6035,-18120
752,CRACKER BARREL OLD CTRY STOR,126.827323685,205697,152.662159307,94660,171.467911235,111846,132.213085449,111880,-111037,17186
753,CRANE CO,47.8359506722,113283,53.8611757273,139284,56.7153834204,167362,63.010837002,334133,26001,28078
754,CRAWFORD & CO,5.1261829653,35504,6.00953827071,46759,8.1913458802,80817,11.32677187,18187,11255,34058
755,CRAY INC,32.4537586968,47144,41.9064799702,139692,29.9182242561,271841,23.5403305042,349103,92548,132149
756,CREDICORP LTD,97.319792303,209536,131.010727291,355635,154.329827602,673849,152.2200124,698397,146099,318214
757,CREDIT ACCEP CORP MICH,214.008175821,49414,181.545780304,64744,185.083456581,18932,201.053084032,18612,15330,-45812
758,CREDIT SUISSE GROUP,21.6895666478,1093014,14.1306098779,620780,10.6998524933,1156558,13.1396264224,1047975,-472234,535778
759,CREDIT SUISSE NASSAU BRH,18.8673121653,92435,25.9257910643,27463,24.9960457527,960992,36.2369065319,1073436,-64972,933529
