nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
DENTSPLY SIRONA INC,CMN,24906P109,83,1400,SH,DFND,1,1400,0,0,Put
DENTSPLY SIRONA INC,CMN,24906P109,178,3000,SH,DFND,1,3000,0,0,Call
DENTSPLY SIRONA INC,CMN,24906P109,134427,2261946,SH,DFND,2,1946671,0,315275,
DENTSPLY SIRONA INC,CMN,24906P109,172,2900,SH,DFND,4,0,0,2900,
DENTSPLY SIRONA INC,CMN,24906P109,89,1500,SH,DFND,4,0,0,1500,Call
DENTSPLY SIRONA INC,CMN,24906P109,836,14066,SH,DFND,6,14066,0,0,
DEPOMED INC,CNV,249908AA2,6085,4274000,PRN,DFND,1,4274000,0,0,
DEPOMED INC,CMN,249908104,2878,115239,SH,DFND,1,115239,0,0,
DEPOMED INC,CMN,249908104,1457,58348,SH,DFND,2,58348,0,0,
DERMA SCIENCES INC,CMN,249827502,157,33709,SH,DFND,1,33709,0,0,
DERMIRA INC,CMN,24983L104,9646,285227,SH,DFND,1,285227,0,0,
DERMIRA INC,CMN,24983L104,3889,115000,SH,DFND,1,115000,0,0,Call
DERMIRA INC,CMN,24983L104,2164,64000,SH,DFND,1,64000,0,0,Put
DERMIRA INC,CMN,24983L104,218,6440,SH,DFND,2,6440,0,0,
DESTINATION MATERNITY CORP,CMN,25065D100,120,16922,SH,DFND,1,16922,0,0,
DESTINATION XL GROUP INC,CMN,25065K104,67,15429,SH,DFND,2,15429,0,0,
DESTINATION XL GROUP INC,CMN,25065K104,202,46567,SH,DFND,6,46567,0,0,
DETERMINE INC,CMN,250660107,45,26572,SH,DFND,1,26572,0,0,
DEUTSCHE BANK AG,CMN,D18190898,60768,4642302,SH,DFND,1,833593,0,3808709,
DEUTSCHE BANK AG,CMN,D18190898,9514,726800,SH,DFND,1,726800,0,0,Call
DEUTSCHE BANK AG,CMN,D18190898,44727,3416900,SH,DFND,1,3416900,0,0,Put
DEUTSCHE BANK AG,CMN,D18190898,8901,680011,SH,DFND,2,680011,0,0,
DEUTSCHE BANK AG,CMN,D18190898,376803,28785568,SH,DFND,3,18080551,0,10705017,
DEUTSCHE BANK AG,CMN,D18190898,102771,7851100,SH,DFND,3,7851100,0,0,Put
DEUTSCHE BANK AG,CMN,D18190898,81989,6263500,SH,DFND,3,6263500,0,0,Call
DEUTSCHE BK AG LONDON,CMN,25153Q658,226,12481,SH,DFND,1,12481,0,0,
DEVON ENERGY CORP NEW,CMN,25179M103,56376,1278077,SH,DFND,1,999230,0,278847,
DEVON ENERGY CORP NEW,CMN,25179M103,16427,372400,SH,DFND,1,372400,0,0,Call
DEVON ENERGY CORP NEW,CMN,25179M103,14318,324600,SH,DFND,1,324600,0,0,Put
DEVON ENERGY CORP NEW,CMN,25179M103,127381,2887813,SH,DFND,2,2860234,0,27579,
DEVON ENERGY CORP NEW,CMN,25179M103,1606,36415,SH,DFND,6,36415,0,0,
DEVON ENERGY CORP NEW,CMN,25179M103,141,3186,SH,OTR,"6,2",0,3186,0,
DEVRY ED GROUP INC,CMN,251893103,7464,323691,SH,DFND,1,323691,0,0,
DEVRY ED GROUP INC,CMN,251893103,69,3000,SH,DFND,1,3000,0,0,Put
DEVRY ED GROUP INC,CMN,251893103,168,7300,SH,DFND,1,7300,0,0,Call
DEVRY ED GROUP INC,CMN,251893103,277,12011,SH,DFND,2,12011,0,0,
DEXCOM INC,CMN,252131107,69104,788324,SH,DFND,1,788324,0,0,
DEXCOM INC,CMN,252131107,12013,137045,SH,DFND,2,135951,0,1094,
DGSE COMPANIES INC,CMN,23323G106,11,12963,SH,DFND,1,12963,0,0,
DHI GROUP INC,CMN,23331S100,1379,174782,SH,DFND,1,174782,0,0,
DHI GROUP INC,CMN,23331S100,3665,464561,SH,DFND,2,464561,0,0,
