nameOfIssuer,sshPrnamt,value
BALLY TECHNOLOGIES INC,54301,3569
BALTIC TRADING LIMITED,203819,1219
BANC CALIF INC,35477,387
BANCFIRST CORP,20291,1256
BANCO BILBAO VIZCAYA ARGENTA,1341509,17131
BANCO BRADESCO S A,3514246,51029
BANCO DE CHILE,66823,5353
BANCO MACRO SA,40213,1449
BANCO SANTANDER BRASIL S A,1622888,11230
BANCO SANTANDER CHILE NEW,223864,5922
BANCO SANTANDER SA,6827987,71148
BANCOLOMBIA S A,214213,12381
BANCORPSOUTH INC,3479558,85493
BANK HAWAII CORP,148160,8695
BANK MONTREAL QUE,773882,56949
BANK MUTUAL CORP NEW,16363,95
BANK N S HALIFAX,682172,45433
BANK NEW YORK MELLON CORP,3443075,129046
BANK OF AMERICA CORPORATION,80904439,1248228
BANK OF THE OZARKS INC,2882822,96430
BANKFINANCIAL CORP,27745,310
BANKRATE INC DEL,36452,639
BANKUNITED INC,76803,2571
BANNER CORP,1015182,40232
BANRO CORP,89981,43
BARCLAYS BANK PLC,53073,1493
BARCLAYS BK PLC,543547,12222
BARCLAYS PLC,892531,13040
BARD C R INC,2300412,328981
BARNES & NOBLE INC,149045,3397
BARNES GROUP INC,1282933,49444
BARRACUDA NETWORKS INC,68144,2114
BARRETT BILL CORP,250085,6698
BARRETT BUSINESS SERVICES IN,20499,963
BARRICK GOLD CORP,6670997,122078
BARRY R G CORP OHIO,16411,311
BASIC ENERGY SVCS INC NEW,258263,7547
BAXTER INTL INC,1598874,115598
BAYLAKE CORP,16076,201
BAYTEX ENERGY CORP,246408,11372
BAZAARVOICE INC,47802,377
BB&T CORP,2366827,93324
BBCN BANCORP INC,12770,204
BBVA BANCO FRANCES S A,45842,534
BCE INC,1161160,52670
BE AEROSPACE INC,351039,32468
BEACON ROOFING SUPPLY INC,94462,3129
BEASLEY BROADCAST GROUP INC,11102,70
BEAZER HOMES USA INC,255941,5370
BEBE STORES INC,58136,178
BECTON DICKINSON & CO,557199,65916
BED BATH & BEYOND INC,2309422,132514
BELDEN INC,668780,52272
BELLATRIX EXPLORATION LTD,222826,1941
BEMIS INC,286327,11643
BENCHMARK ELECTRS INC,341179,8694
BENEFICIAL MUTUAL BANCORP IN,42076,571
BENEFITFOCUS INC,11380601,526011
BERKLEY W R CORP,294363,13631
BERKSHIRE HATHAWAY INC DEL,5270788,717552
BERKSHIRE HILLS BANCORP INC,10236,238
BERRY PLASTICS GROUP INC,1449696,37403
BEST BUY INC,1157720,35901
BGC PARTNERS INC,661106,4919
BHP BILLITON LTD,2421582,165757
BHP BILLITON PLC,208227,13583
BIG 5 SPORTING GOODS CORP,81394,999
BIG LOTS INC,191183,8738
BIGLARI HLDGS INC,702,297
BIO PATH HOLDINGS INC,170996,522
BIO RAD LABS INC,33019,3952
BIOAMBER INC,31933,318
BIOCRYST PHARMACEUTICALS,22008,281
BIODEL INC,225134,486
BIOGEN IDEC INC,1398474,440954
BIOLASE INC,34876,77
BIOMARIN PHARMACEUTICAL INC,957513,59567
BIOMED REALTY TRUST INC,4073205,88918
BIOSCRIP INC,26319,220
BIOTA PHARMACEUTIALS INC,188970,539
BIOTELEMETRY INC,19819,142
BIOTIME INC,12017,37
BITAUTO HLDGS LTD,13089,637
BJS RESTAURANTS INC,14486,506
BLACK BOX CORP DEL,18305,429
BLACK DIAMOND INC,1164126,13061
BLACK HILLS CORP,761595,46754
BLACKBAUD INC,85277,3048
BLACKBERRY LTD,1317704,13493
BLACKHAWK NETWORK HLDGS INC,725127,19485
BLACKROCK BUILD AMER BD TR,234264,5084
BLACKROCK CORPOR HI YLD FD I,122245,1502
BLACKROCK CR ALLCTN INC TR,15141,208
BLACKROCK DEBT STRAT FD INC,226328,928
BLACKROCK ENH CAP & INC FD I,17589,259
BLACKROCK ENHANCED EQT DIV T,43608,366
BLACKROCK GLOBAL OPP EQTY TR,25871,389
BLACKROCK INC,466018,148940
BLACKROCK INCOME OPP TRUST I,16397,178
BLACKROCK INCOME TR INC,19852,132
BLACKROCK INTL GRWTH & INC T,11831,97
