nameOfIssuer,value,sshPrnamt,Sole,Shared,None
PARTNERRE LTD,6073,57600,57600,0,0
PATRIOT TRANSN HLDG INC,868,20902,20902,0,0
PATTERN ENERGY GROUP INC,7034,232080,232080,0,0
PATTERSON COMPANIES INC,9029,219139,219139,0,0
PATTERSON UTI ENERGY INC,15987,631407,630400,0,1007
PAX WORLD FDS TR II,389,13000,0,0,13000
PAYCHEX INC,121347,2665205,2662065,0,3140
PBF ENERGY INC,10358,329224,329224,0,0
PC-TEL INC,659,68861,68861,0,0
PDC ENERGY INC,9600,180388,180388,0,0
PDF SOLUTIONS INC,490,19143,19143,0,0
PDL BIOPHARMA INC,2537,300603,300603,0,0
PEABODY ENERGY CORP,21625,1107255,1033622,0,73633
PEARSON PLC,2872,128232,128232,0,0
PEBBLEBROOK HOTEL TR,54866,1783694,1700249,154,83291
PEDEVCO CORP,62,28801,28801,0,0
PEGASYSTEMS INC,6458,131314,131314,0,0
PEMBINA PIPELINE CORP,17755,503971,503971,0,0
PENGROWTH ENERGY CORP,3645,587887,587887,0,0
PENN NATL GAMING INC,504,35187,35187,0,0
PENN VA CORP,3687,390966,390966,0,0
PENN WEST PETE LTD NEW,2905,347421,347421,0,0
PENNANTPARK INVT CORP,13250,1142249,1080861,0,61388
PENNEY J C INC,38960,4257925,4251993,0,5932
PENNSYLVANIA RL ESTATE INVT,4970,261842,261646,196,0
PENNYMAC FINL SVCS INC,257,14644,14644,0,0
PENNYMAC MTG INVT TR,2346,102158,102158,0,0
PENSKE AUTOMOTIVE GRP INC,5481,116231,116231,0,0
PENTAIR LTD,58359,751371,751371,0,0
PEOPLES FED BANCSHARES INC,189,10645,10645,0,0
PEOPLES UNITED FINANCIAL INC,53429,3533653,3529513,0,4140
PEP BOYS MANNY MOE & JACK,5775,475657,475657,0,0
PEPCO HOLDINGS INC,43962,2298085,2292165,0,5920
PEPSICO INC,575369,6937177,5436712,0,1500465
PEREGRINE PHARMACEUTICALS IN,52,37091,37091,0,0
PEREGRINE SEMICONDUCTOR CORP,631,85220,85220,0,0
PERFICIENT INC,2888,123350,123350,0,0
PERFUMANIA HLDGS INC,87,13720,13720,0,0
PERICOM SEMICONDUCTOR CORP,623,70294,70294,0,0
PERKINELMER INC,147081,3567342,3391741,11473,164128
PERNIX THERAPEUTICS HLDGS IN,121,47977,47977,0,0
PETMED EXPRESS INC,695,41775,41775,0,0
PETROBRAS ARGENTINA S A,168,30209,30209,0,0
PETROCHINA CO LTD,4260,38816,38816,0,0
PETROLEO BRASILEIRO SA PETRO,50397,3625180,3619461,0,5719
PETROLOGISTICS LP,10678,916569,916569,0,0
PETROQUEST ENERGY INC,1275,295042,295042,0,0
PETSMART INC,178203,2449535,2371891,14339,63305
PFIZER INC,1106466,36123573,33124403,290851,2708319
PG&E CORP,187425,4653058,4552414,65680,34964
PGT INC,1751,173019,173019,0,0
PHARMACYCLICS INC,102317,967262,697255,3672,266335
PHARMERICA CORP,6066,282133,282133,0,0
PHH CORP,4513,185343,185343,0,0
PHI INC,810,18662,18662,0,0
PHILIP MORRIS INTL INC,478253,5488953,5036792,43648,408513
PHILIPPINE LONG DISTANCE TEL,2833,47138,47138,0,0
PHILLIPS 66,179553,2327919,2197748,24956,105215
PHILLIPS 66 PARTNERS LP,36011,949416,949416,0,0
PHOENIX COS INC NEW,943,15354,15354,0,0
PHOENIX NEW MEDIA LTD,6622,687669,687669,0,0
PHOTRONICS INC,636,70447,70447,0,0
PICO HLDGS INC,726,31417,31417,0,0
PIEDMONT NAT GAS INC,6067,182963,182963,0,0
PIEDMONT OFFICE REALTY TR IN,58619,3548386,3548037,349,0
PIER 1 IMPORTS INC,6447,279352,279352,0,0
PIKE ELEC CORP,820,77575,77575,0,0
PILGRIMS PRIDE CORP NEW,12868,791907,791907,0,0
PIMCO ETF TR,20573,205742,152842,0,52900
PIMCO NY MUNICIPAL INCOME FD,214,21100,21100,0,0
PINNACLE ENTMT INC,18440,709481,672176,0,37305
PINNACLE FINL PARTNERS INC,42197,1297164,1227175,0,69989
PINNACLE FOODS INC DEL,4134,150559,150059,0,500
PINNACLE WEST CAP CORP,32251,609445,586782,0,22663
PIONEER ENERGY SVCS CORP,2676,333992,331092,0,2900
PIONEER NAT RES CO,196778,1069036,1038170,0,30866
PIPER JAFFRAY COS,12276,310375,296872,0,13503
PITNEY BOWES INC,44803,1922880,1922880,0,0
PLAINS ALL AMERN PIPELINE L,434104,8385247,8043558,0,341689
PLAINS GP HLDGS L P,291438,10886756,10865646,0,21110
PLANET PAYMENT INC,38,13785,13785,0,0
PLANTRONICS INC NEW,4008,86294,86294,0,0
PLATINUM UNDERWRITER HLDGS L,1986,32404,32404,0,0
PLEXUS CORP,3288,75967,75967,0,0
PLUG POWER INC,23,14550,14550,0,0
PLUM CREEK TIMBER CO INC,37408,804293,803723,0,570
PLX TECHNOLOGY INC,577,87683,87683,0,0
PLY GEM HLDGS INC,3200,177438,95318,0,82120
PMC-SIERRA INC,29548,4595439,4338648,0,256791
PNC FINL SVCS GROUP INC,198288,2555914,2342229,26564,187121
PNM RES INC,4394,182148,182148,0,0
POLARIS INDS INC,24134,165712,165712,0,0
POLYCOM INC,83354,7422442,7372654,0,49788
POLYONE CORP,100978,2856512,2698247,0,158265
POLYPORE INTL INC,4145,106559,106559,0,0
POOL CORPORATION,5770,99244,99244,0,0
POPULAR INC,1733,60341,60341,0,0
PORTFOLIO RECOVERY ASSOCS IN,8327,157573,157573,0,0
PORTLAND GEN ELEC CO,47372,1568600,1478972,0,89628
PORTOLA PHARMACEUTICALS INC,897,34826,34826,0,0
PORTUGAL TELECOM SGPS S A,434,100566,100566,0,0
POSCO,5041,64626,64626,0,0
POST HLDGS INC,6772,137457,137457,0,0
POST PPTYS INC,40231,889476,858492,131,30853
POTASH CORP SASK INC,43119,1308219,1280971,0,27248
POTLATCH CORP NEW,4891,117177,117177,0,0
POWELL INDS INC,21261,317371,299843,0,17528
POWER INTEGRATIONS INC,4170,74697,74697,0,0
POWERSHARES ACTIVE MNG ETF T,1594,69073,69073,0,0
POWERSHARES DB CMDTY IDX TRA,3786,147534,80424,0,67110
POWERSHARES DB G10 CURCY HAR,10562,415511,415511,0,0
POWERSHARES ETF TR II,19532,568699,524174,0,44525
POWERSHARES ETF TRUST,26135,1400714,1097619,0,303095
POWERSHARES ETF TRUST II,200368,8013900,224505,0,7789395
POWERSHARES GLOBAL ETF FD,2103,101333,101333,0,0
POWERSHARES GLOBAL ETF TRUST,9650,417439,199964,0,217475
POWERSHARES INDIA ETF TR,1130,64129,64129,0,0
POWERSHARES QQQ TRUST,1294369,14715443,14421557,0,293886
POWERSHS DB MULTI SECT COMM,4540,178518,106038,0,72480
POWERSHS DB US DOLLAR INDEX,5163,233781,233781,0,0
POZEN INC,580,72190,72190,0,0
PPG INDS INC,141043,743662,656918,9806,76938
PPL CORP,73610,2410851,2220386,0,190465
PRANA BIOTECHNOLOGY LTD,271,38641,38641,0,0
PRAXAIR INC,120346,925531,859208,0,66323
PRECIDIAN ETFS TR,19413,1047677,1047677,0,0
PRECISION CASTPARTS CORP,252600,937989,781826,0,156163
PRECISION DRILLING CORP,600,64021,64021,0,0
PREFERRED APT CMNTYS INC,155,19233,19233,0,0
PREFORMED LINE PRODS CO,453,6189,6189,0,0
PREMIERE GLOBAL SVCS INC,49953,4310018,4049794,0,260224
PRESTIGE BRANDS HLDGS INC,48233,1347316,1276642,0,70674
PRGX GLOBAL INC,202,30123,30123,0,0
PRICE T ROWE GROUP INC,238976,2852765,2570700,13131,268934
PRICELINE COM INC,474064,407832,391080,1015,15737
PRICESMART INC,5930,51317,51317,0,0
PRIMERICA INC,6857,159807,159807,0,0
PRIMORIS SVCS CORP,540,17361,17361,0,0
PRINCIPAL FINL GROUP INC,294457,5971545,5933506,0,38039
PRIVATEBANCORP INC,79131,2735246,2592843,0,142403
PROASSURANCE CORP,61099,1260303,1198123,0,62180
PROCERA NETWORKS INC,826,54989,54989,0,0
PROCTER & GAMBLE CO,843943,10366572,8822056,13252,1531264
PROGENICS PHARMACEUTICALS IN,606,113720,113720,0,0
PROGRESS SOFTWARE CORP,4437,171794,171794,0,0
PROGRESSIVE CORP OHIO,45862,1681783,1653855,0,27928
PROGRESSIVE WASTE SOLUTIONS,32525,1314132,1250394,0,63738
PROLOGIS INC,126217,3415877,3414545,1332,0
PROMOTORA DE INFORMACIONES S,23754,8667515,8667515,0,0
PROOFPOINT INC,1160,34971,34971,0,0
PROS HOLDINGS INC,1108,27777,27777,0,0
PROSHARES TR,453840,11213241,11213241,0,0
PROSHARES TR II,19569,706887,706887,0,0
PROSPECT CAPITAL CORPORATION,7163,638418,638418,0,0
PROSPERITY BANCSHARES INC,68355,1078318,1025591,0,52727
PROTALIX BIOTHERAPEUTICS INC,112,28742,28742,0,0
PROTECTIVE LIFE CORP,21496,424306,423527,0,779
PROTHENA CORP PLC,2576,97104,97104,0,0
PROTO LABS INC,359,5047,5047,0,0
PROVIDENCE SVC CORP,1196,46509,46509,0,0
PROVIDENT FINL SVCS INC,37938,1963667,1868551,0,95116
PRUDENTIAL FINL INC,591788,6417138,4725946,60650,1630542
PRUDENTIAL PLC,9299,206627,199782,0,6845
PS BUSINESS PKS INC CALIF,68577,897366,844369,38,52959
PTC INC,175360,4955089,4832355,0,122734
PTC THERAPEUTICS INC,295,17407,17407,0,0
PUBLIC STORAGE,173822,1154812,1066605,10551,77656
PUBLIC SVC ENTERPRISE GROUP,60417,1885661,1884561,0,1100
PULASKI FINL CORP,313,27808,27808,0,0
PULTE GROUP INC,71821,3525793,3418988,17171,89634
PUMA BIOTECHNOLOGY INC,294,2841,2841,0,0
PUTNAM MASTER INTER INCOME T,390,77361,77361,0,0
PUTNAM PREMIER INCOME TR,668,122755,122755,0,0
PVH CORP,771834,5674410,4670674,10113,993623
PVR PARTNERS L P,656,24454,24454,0,0
QAD INC,378,21391,21391,0,0
QEP MIDSTREAM PARTNERS LP,22788,981403,981403,0,0
QEP RES INC,39239,1280212,1269428,0,10784
QIAGEN NV,7582,318475,318475,0,0
QIHOO 360 TECHNOLOGY CO LTD,65989,804259,804219,0,40
QIWI PLC,5515,98472,9672,0,88800
QLIK TECHNOLOGIES INC,5181,194563,194563,0,0
QLOGIC CORP,2107,178066,178066,0,0
QLT INC,1393,250074,250074,0,0
QR ENERGY LP,813,47485,44735,0,2750
QTS RLTY TR INC,1614,65133,65133,0,0
QUAD / GRAPHICS INC,3731,137024,137024,0,0
QUAKER CHEM CORP,27222,353212,334751,0,18461
QUALCOMM INC,1596067,21495864,16408325,76824,5010715
QUALITY SYS INC,6163,292618,292618,0,0
QUALYS INC,494,21373,21373,0,0
QUANEX BUILDING PRODUCTS COR,1802,90467,90467,0,0
QUANTA SVCS INC,107417,3403578,3308537,17617,77424
QUANTUM CORP,313,260163,260163,0,0
QUEST DIAGNOSTICS INC,66206,1236580,1153780,0,82800
QUESTAR CORP,12343,536878,536878,0,0
QUESTCOR PHARMACEUTICALS INC,40652,746596,746596,0,0
QUICKLOGIC CORP,404,102215,102215,0,0
QUICKSILVER RESOURCES INC,695,226578,226578,0,0
QUIDEL CORP,2900,93888,93888,0,0
QUIKSILVER INC,2594,295823,295823,0,0
QUINSTREET INC,1263,145353,145353,0,0
QUINTILES TRANSNATIO HLDGS I,4944,106682,106682,0,0
RACKSPACE HOSTING INC,30494,779304,775607,0,3697
RADIAN GROUP INC,54879,3886616,3682432,0,204184
RADIOSHACK CORP,262,100826,100826,0,0
RADISYS CORP,163,71349,71349,0,0
RADWARE LTD,31770,1766961,1661936,0,105025
RAIT FINANCIAL TRUST,192,21387,21387,0,0
RALPH LAUREN CORP,120266,681126,658186,4248,18692
RAMBUS INC DEL,4888,516216,516216,0,0
RAMCO-GERSHENSON PPTYS TR,2409,153009,152883,126,0
RAND LOGISTICS INC,235,40773,40773,0,0
RANDGOLD RES LTD,2701,42997,42997,0,0
RANGE RES CORP,224863,2667102,2583023,0,84079
RAPTOR PHARMACEUTICAL CORP,37643,2891155,2891155,0,0
RARE ELEMENT RES LTD,44,28269,28269,0,0
RAVEN INDS INC,2244,54541,54541,0,0
RAYMOND JAMES FINANCIAL INC,191699,3673102,3649101,0,24001
RAYONIER INC,14727,349805,349805,0,0
RAYTHEON CO,123898,1366030,1279896,14215,71919
RBC BEARINGS INC,34413,486397,458571,0,27826
REALD INC,136,15924,15924,0,0
REALNETWORKS INC,213,28269,28269,0,0
REALOGY HLDGS CORP,79809,1613288,1338027,28875,246386
REALPAGE INC,1212,51859,51859,0,0
REALTY INCOME CORP,42640,1142270,1142270,0,0
RED HAT INC,40227,717825,717758,0,67
RED LION HOTELS CORP,106,17474,17474,0,0
RED ROBIN GOURMET BURGERS IN,4170,56700,56700,0,0
REDHILL BIOPHARMA LTD,342,29000,29000,0,0
REDIFF COM INDIA LTD,35,15116,15116,0,0
REDWOOD TR INC,2641,136350,134850,0,1500
REED ELSEVIER N V,2311,54161,54161,0,0
REED ELSEVIER P L C,2646,44065,44065,0,0
REGADO BIOSCIENCES INC,226,47289,47289,0,0
REGAL BELOIT CORP,4218,57220,57220,0,0
REGAL ENTMT GROUP,6985,359137,359137,0,0
REGENCY CTRS CORP,63293,1367016,1366770,246,0
REGENCY ENERGY PARTNERS L P,31217,1188749,1181649,0,7100
REGENERON PHARMACEUTICALS,350481,1273364,1049453,1665,222246
REGIONS FINL CORP NEW,60067,6073447,5233899,0,839548
REGIS CORP MINN,2071,142706,142097,0,609
REGULUS THERAPEUTICS INC,6971,943244,943244,0,0
REINSURANCE GROUP AMER INC,27125,350405,333007,10781,6617
RELIANCE STEEL & ALUMINUM CO,197257,2600964,2430837,17416,152711
RENAISSANCERE HOLDINGS LTD,37887,389227,389227,0,0
RENASANT CORP,3130,99495,99495,0,0
RENESOLA LTD,133,38466,38466,0,0
RENEWABLE ENERGY GROUP INC,2110,184128,184128,0,0
RENREN INC,66,21690,21690,0,0
RENT A CTR INC NEW,7160,214748,214748,0,0
RENTECH INC,766,437825,437825,0,0
RENTRAK CORP,347,9162,9162,0,0
REPLIGEN CORP,1843,135111,135111,0,0
REPROS THERAPEUTICS INC,1155,63120,63120,0,0
REPUBLIC AWYS HLDGS INC,1817,170002,170002,0,0
REPUBLIC SVCS INC,33169,999063,986998,0,12065
RESMED INC,10088,214268,214268,0,0
RESOLUTE ENERGY CORP,2082,675722,675722,0,0
RESOLUTE FST PRODS INC,1860,116144,116144,0,0
RESOURCE CAP CORP,1400,236191,236191,0,0
RESOURCES CONNECTION INC,1456,101591,101591,0,0
RESPONSE GENETICS INC,24,20911,20911,0,0
RESTORATION HARDWARE HLDGS I,56713,842689,822446,3763,16480
RETAIL OPPORTUNITY INVTS COR,1884,295941,295941,0,0
RETAIL PPTYS AMER INC,33177,2608314,2608314,0,0
RETAILMENOT INC,594,20616,20616,0,0
REVENUESHARES ETF TR,283,6341,6341,0,0
REVLON INC,967,38724,38724,0,0
REX AMERICAN RESOURCES CORP,1743,38980,38980,0,0
REX ENERGY CORPORATION,111201,5641886,5339031,0,302855
REXAHN PHARMACEUTICALS INC,21,40230,40230,0,0
REXNORD CORP NEW,915,33883,33883,0,0
REYNOLDS AMERICAN INC,77104,1542391,1542391,0,0
RF MICRODEVICES INC,3859,747843,747843,0,0
RICHMONT MINES INC,240,240055,240055,0,0
RIGEL PHARMACEUTICALS INC,527,184931,184931,0,0
RIGNET INC,1184,24713,24713,0,0
RING ENERGY INC,676,55379,55379,0,0
RINGCENTRAL INC,196,10684,10684,0,0
RIO TINTO PLC,174549,3093175,3093175,0,0
RITCHIE BROS AUCTIONEERS,510,22262,22262,0,0
RITE AID CORP,5067,1001336,1001336,0,0
RIVERBED TECHNOLOGY INC,3465,191645,185075,0,6570
RLI CORP,29995,308023,292393,0,15630
RLJ ENTMT INC,2047,427369,427369,0,0
RLJ LODGING TR,21846,898256,898256,0,0
RMG NETWORKS HLDG CORP,50,10352,10352,0,0
RMR REAL ESTATE INCOME FUND,994,58763,58763,0,0
ROADRUNNER TRNSN SVCS HLDG I,26316,976478,976478,0,0
ROBERT HALF INTL INC,17782,423483,423483,0,0
ROCK-TENN CO,17078,162637,162637,0,0
ROCKVILLE FINL INC NEW,939,66095,66095,0,0
ROCKWELL AUTOMATION INC,63332,535982,433357,0,102625
ROCKWELL COLLINS INC,39459,533805,533805,0,0
ROCKWELL MED INC,363,34795,34795,0,0
ROCKWOOD HLDGS INC,47821,664918,664918,0,0
ROFIN SINAR TECHNOLOGIES INC,3258,120557,120557,0,0
ROGERS COMMUNICATIONS INC,13075,288950,288950,0,0
ROGERS CORP,2401,39033,39033,0,0
ROLLINS INC,5199,171626,171626,0,0
ROPER INDS INC NEW,87042,627648,613650,2568,11430
ROSE ROCK MIDSTREAM L P,62324,1610435,1610435,0,0
ROSETTA RESOURCES INC,22445,467213,361111,0,106102
ROSS STORES INC,47717,636817,624022,0,12795
ROUNDYS INC,198,20084,20084,0,0
ROUSE PPTYS INC,2228,100399,100399,0,0
ROVI CORP,3179,161429,161429,0,0
ROWAN COMPANIES PLC,14942,422563,393063,0,29500
ROYAL BK CDA MONTREAL QUE,93325,1388137,1388137,0,0
ROYAL BK SCOTLAND GROUP PLC,14645,755345,658020,0,97325
ROYAL BK SCOTLAND PLC,12587,347336,347336,0,0
ROYAL CARIBBEAN CRUISES LTD,8666,182739,175303,0,7436
ROYAL DUTCH SHELL PLC,223401,3104611,2706845,0,397766
ROYAL GOLD INC,8385,182017,182017,0,0
ROYCE VALUE TR INC,182,11365,11365,0,0
RPC INC,4472,250507,232207,0,18300
RPM INTL INC,9152,220491,209941,0,10550
RPX CORP,3553,210252,210252,0,0
RTI INTL METALS INC,3819,111629,111629,0,0
RTI SURGICAL INC,580,163960,163960,0,0
RUBICON MINERALS CORP,23,27017,27017,0,0
RUBICON TECHNOLOGY INC,536,53831,53831,0,0
RUBY TUESDAY INC,1005,145045,145045,0,0
RUDOLPH TECHNOLOGIES INC,1101,93775,93775,0,0
RUSH ENTERPRISES INC,1189,40116,40116,0,0
RUTHS HOSPITALITY GROUP INC,1663,117050,117050,0,0
RYANAIR HLDGS PLC,1107,23582,23135,0,447
RYDER SYS INC,12694,172047,172047,0,0
RYDEX ETF TRUST,28240,364392,273878,0,90514
RYLAND GROUP INC,8846,203797,183782,0,20015
RYMAN HOSPITALITY PPTYS INC,58294,1395259,1387039,0,8220
S & T BANCORP INC,3082,121774,121774,0,0
S Y BANCORP INC,1160,36341,36341,0,0
SABRA HEALTH CARE REIT INC,3405,130265,130265,0,0
SAEXPLORATION HLDGS INC,143,15983,15983,0,0
SAFEGUARD SCIENTIFICS INC,325,16183,16183,0,0
SAFETY INS GROUP INC,3025,53726,53726,0,0
SAFEWAY INC,102854,3157923,2910021,0,247902
SAGA COMMUNICATIONS INC,250,4973,4973,0,0
SAGENT PHARMACEUTICALS INC,14109,555912,555912,0,0
SAIA INC,2019,62985,62985,0,0
SALESFORCE COM INC,330255,5983991,5261136,10969,711886
SALIX PHARMACEUTICALS INC,10125,112574,112574,0,0
SALLY BEAUTY HLDGS INC,5994,198287,185359,0,12928
SANCHEZ ENERGY CORP,2256,92074,92074,0,0
SANDERSON FARMS INC,13295,183807,182052,0,1755
SANDISK CORP,166653,2362535,2348484,0,14051
SANDRIDGE ENERGY INC,1630,268596,268596,0,0
SANDSTORM GOLD LTD,105,24500,24500,0,0
SANDY SPRING BANCORP INC,16076,570298,536218,0,34080
SANGAMO BIOSCIENCES INC,21304,1533790,1533790,0,0
SANMINA CORPORATION,6908,413646,413646,0,0
SANOFI,140073,2784583,2206816,0,577767
SANTARUS INC,3346,104710,104710,0,0
SAP AG,308284,3537805,3528502,0,9303
SAPIENT CORP,4151,239101,193616,0,45485
SARATOGA RES INC TEX,29,25140,25140,0,0
SAREPTA THERAPEUTICS INC,139,6848,6848,0,0
SASOL LTD,438,8860,8860,0,0
SAUL CTRS INC,2382,49908,49908,0,0
SBA COMMUNICATIONS CORP,530782,5908079,5075691,17154,815234
SCANA CORP NEW,125163,2667010,2651493,0,15517
SCANSOURCE INC,5595,131865,131865,0,0
SCHEIN HENRY INC,188296,1647964,1550789,7320,89855
SCHLUMBERGER LTD,779220,8647426,5956019,6002,2685405
SCHNITZER STL INDS,2517,77026,77026,0,0
SCHOLASTIC CORP,4184,123034,123034,0,0
SCHULMAN A INC,7222,204818,204818,0,0
SCHWAB CHARLES CORP NEW,123419,4746905,4271341,73893,401671
SCHWAB STRATEGIC TR,23993,596328,567028,0,29300
SCHWEITZER-MAUDUIT INTL INC,12015,233428,233428,0,0
SCICLONE PHARMACEUTICALS INC,425,84266,84266,0,0
SCIENCE APPLICATNS INTL CP N,13883,419814,419814,0,0
SCIENTIFIC GAMES CORP,2378,140435,140435,0,0
SCIQUEST INC NEW,605,21226,21226,0,0
SCORPIO TANKERS INC,1869,158470,158470,0,0
SCOTTS MIRACLE GRO CO,6711,107865,107865,0,0
SCRIPPS E W CO OHIO,2008,92459,92459,0,0
SCRIPPS NETWORKS INTERACT IN,283084,3276047,3192666,9743,73638
SEABOARD CORP,1579,565,565,0,0
SEABRIDGE GOLD INC,145,19863,19863,0,0
SEACHANGE INTL INC,420,34574,34574,0,0
SEACOAST BKG CORP FLA,276,22638,22638,0,0
SEACOR HOLDINGS INC,7266,79675,79675,0,0
SEADRILL LIMITED,64489,1569840,1569840,0,0
SEADRILL PARTNERS LLC,66225,2136300,2136300,0,0
SEAGATE TECHNOLOGY PLC,125883,2241510,2238637,0,2873
SEALED AIR CORP NEW,42938,1261029,1260727,0,302
SEARS HLDGS CORP,27790,566676,522164,0,44512
SEASPAN CORP,2294,99956,99956,0,0
SEATTLE GENETICS INC,10419,261201,259035,0,2166
SEAWORLD ENTMT INC,75699,2631164,2630564,0,600
SECURITY NATL FINL CORP,172,35773,35773,0,0
SEI INVESTMENTS CO,41594,1197620,1018550,39758,139312
SELECT COMFORT CORP,3758,178198,178198,0,0
SELECT INCOME REIT,310,11606,11606,0,0
SELECT MED HLDGS CORP,927,79874,79874,0,0
SELECT SECTOR SPDR TR,6627390,175796814,152991798,0,22805016
SELECTIVE INS GROUP INC,4240,156684,156684,0,0
SEMGROUP CORP,43170,666396,666396,0,0
SEMICONDUCTOR MFG INTL CORP,160,40911,40911,0,0
SEMPRA ENERGY,331893,3697555,3670618,0,26937
SEMTECH CORP,35443,1402039,1324001,0,78038
SENECA FOODS CORP NEW,818,25635,25635,0,0
SENIOR HSG PPTYS TR,81881,3683341,3682813,528,0
SENOMYX INC,213,42181,42181,0,0
SENSATA TECHNOLOGIES HLDG BV,200450,5170233,4917322,29686,223225
SENSIENT TECHNOLOGIES CORP,8989,185253,185253,0,0
SEQUENOM INC,1161,496142,496142,0,0
SERVICE CORP INTL,5984,330058,328993,0,1065
SERVICENOW INC,80930,1444925,1390397,5616,48912
SERVICESOURCE INTL LLC,102,12166,12166,0,0
SESA STERLITE LTD,685,51998,51998,0,0
SHANDA GAMES LTD,1778,388218,388218,0,0
SHAW COMMUNICATIONS INC,3140,128998,128998,0,0
SHENANDOAH TELECOMMUNICATION,1117,43529,43529,0,0
SHERWIN WILLIAMS CO,256517,1397912,1189383,11722,196807
SHILOH INDS INC,418,21417,21417,0,0
SHINHAN FINANCIAL GROUP CO L,3814,83469,83469,0,0
SHIP FINANCE INTERNATIONAL L,5480,334535,334535,0,0
SHIRE PLC,163787,1159227,1120281,4266,34680
SHOE CARNIVAL INC,24009,827630,777213,0,50417
SHORETEL INC,452,48740,48740,0,0
SHUTTERFLY INC,1363,26764,24764,0,2000
SHUTTERSTOCK INC,1467,17550,17550,0,0
SIBANYE GOLD LTD,147,30582,30582,0,0
SIEMENS A G,16720,120712,118902,0,1810
SIERRA BANCORP,3497,217326,202009,0,15317
SIERRA WIRELESS INC,2838,117429,117429,0,0
SIGMA ALDRICH CORP,52294,556263,556263,0,0
SIGMA DESIGNS INC,426,90313,90313,0,0
SIGNATURE BK NEW YORK N Y,186884,1739753,1688444,0,51309
SIGNET JEWELERS LIMITED,25261,320982,320982,0,0
SILGAN HOLDINGS INC,2680,55806,55806,0,0
SILICOM LTD,823,18004,18004,0,0
SILICON GRAPHICS INTL CORP,215,16022,16022,0,0
SILICON IMAGE INC,344,56008,56008,0,0
SILICON LABORATORIES INC,2184,50441,49457,0,984
SILICONWARE PRECISION INDS L,530,88578,88578,0,0
SILVER BAY RLTY TR CORP,13412,838822,838822,0,0
SILVER STD RES INC,602,86561,86561,0,0
SILVER WHEATON CORP,13142,650916,650916,0,0
SILVERCORP METALS INC,851,371529,371529,0,0
SIMMONS 1ST NATL CORP,1460,39311,39311,0,0
SIMON PPTY GROUP INC NEW,372905,2450739,2405809,807,44123
SIMPSON MANUFACTURING CO INC,4387,119438,119438,0,0
SINA CORP,12223,145078,145078,0,0
SINCLAIR BROADCAST GROUP INC,841,23543,23543,0,0
SIRIUS XM HLDGS INC,29881,8561906,8561906,0,0
SIRONA DENTAL SYSTEMS INC,90581,1290337,1290337,0,0
SIX FLAGS ENTMT CORP NEW,10219,277524,271099,0,6425
SJW CORP,1118,37529,37529,0,0
SK TELECOM LTD,2009,81611,81611,0,0
SKECHERS U S A INC,9006,271837,271837,0,0
SKILLED HEALTHCARE GROUP INC,747,155443,155443,0,0
SKULLCANDY INC,174,24027,24027,0,0
SKYWEST INC,8143,549032,549032,0,0
SKYWORKS SOLUTIONS INC,13934,487904,487904,0,0
SL GREEN RLTY CORP,82733,895569,879796,244,15529
SLM CORP,767887,29219448,28813495,204453,201500
SM ENERGY CO,63114,759405,756040,0,3365
SMITH & NEPHEW PLC,2269,31635,31635,0,0
SMITH & WESSON HLDG CORP,3277,242901,242901,0,0
SMITH A O,24332,451100,451100,0,0
SMUCKER J M CO,33956,327695,327437,0,258
SNAP ON INC,16094,146955,146955,0,0
SNYDERS-LANCE INC,3402,118690,118690,0,0
SOCIEDAD QUIMICA MINERA DE C,633,24441,24441,0,0
SODASTREAM INTERNATIONAL LTD,11025,222091,222091,0,0
SOHU COM INC,12043,165131,160031,0,5100
SOLAR CAP LTD,16851,747265,706907,0,40358
SOLAR SR CAP LTD,6215,341118,318008,0,23110
SOLARCITY CORP,268,4721,4721,0,0
SOLARWINDS INC,16692,441232,441232,0,0
SOLAZYME INC,202,18547,18547,0,0
SOLERA HOLDINGS INC,9888,139737,139737,0,0
SOLTA MED INC,78,26455,26455,0,0
SONIC AUTOMOTIVE INC,25502,1041747,1041747,0,0
SONIC CORP,3627,179638,179638,0,0
SONOCO PRODS CO,6460,154829,154829,0,0
SONUS NETWORKS INC,1269,403109,386742,0,16367
SONY CORP,7433,429893,429693,0,200
SOTHEBYS,5814,109278,109278,0,0
SOUFUN HLDGS LTD,34769,421900,421900,0,0
SOURCE CAP INC,1579,23525,23525,0,0
SOUTH JERSEY INDS INC,7063,126216,126216,0,0
SOUTHCOAST FINANCIAL CORP,1980,341307,323743,0,17564
SOUTHERN CO,217348,5286989,5261233,0,25756
SOUTHERN COPPER CORP,16081,560106,560106,0,0
SOUTHERN NATL BANCORP OF VA,402,40177,40177,0,0
SOUTHSIDE BANCSHARES INC,504,18432,18432,0,0
SOUTHWEST AIRLS CO,106037,5628289,5187998,80804,359487
SOUTHWEST BANCORP INC OKLA,15157,952081,897899,0,54182
SOUTHWEST GAS CORP,112332,2009174,1904196,0,104978
SOUTHWESTERN ENERGY CO,255025,6484253,6158865,79693,245695
SOVRAN SELF STORAGE INC,13435,206153,206083,70,0
SP PLUS CORP,537,20612,20612,0,0
SPANSION INC,1324,95315,95315,0,0
SPARK NETWORKS INC,157,25448,25448,0,0
SPARTAN MTRS INC,438,65418,65418,0,0
SPARTAN STORES INC,2627,108214,108214,0,0
