nameOfIssuer,value,sshPrnamt,Sole,Shared,None
BIGLARI HLDGS INC,1883,3716,3716,0,0
BIO RAD LABS INC,3022,24447,24447,0,0
BIO-REFERENCE LABS INC,1851,72470,72470,0,0
BIOAMBER INC,118,15833,15833,0,0
BIOCRYST PHARMACEUTICALS,751,98802,98802,0,0
BIODEL INC,259,113611,113611,0,0
BIOGEN IDEC INC,320957,1148026,1052126,8638,87262
BIOMARIN PHARMACEUTICAL INC,51141,726956,704117,3919,18920
BIOMED REALTY TRUST INC,95181,5252830,5248136,519,4175
BIOSCRIP INC,149,20103,20103,0,0
BIOTA PHARMACEUTIALS INC,266,63444,63444,0,0
BIOTELEMETRY INC,114,14336,14336,0,0
BIOTIME INC,97,27002,27002,0,0
BITAUTO HLDGS LTD,28727,898846,898846,0,0
BJS RESTAURANTS INC,1743,56118,56118,0,0
BLACK BOX CORP DEL,1672,56103,56103,0,0
BLACK DIAMOND INC,14313,1073710,1073710,0,0
BLACK HILLS CORP,21115,402108,383661,0,18447
BLACKBAUD INC,9360,248607,248607,0,0
BLACKBERRY LTD,38290,5146435,5146425,0,10
BLACKROCK BUILD AMER BD TR,4612,240853,240853,0,0
BLACKROCK CORE BD TR,392,30456,30456,0,0
BLACKROCK CORPOR HI YLD FD V,1585,130270,130270,0,0
BLACKROCK CR ALLCTN INC TR,974,74548,74548,0,0
BLACKROCK DEBT STRAT FD INC,602,150769,150769,0,0
BLACKROCK ENERGY & RES TR,533,21920,21920,0,0
BLACKROCK ENH CAP & INC FD I,159,11637,1637,0,10000
BLACKROCK ENHANCED EQT DIV T,159,19970,19970,0,0
BLACKROCK GLOBAL OPP EQTY TR,271,18133,7994,0,10139
BLACKROCK INC,156759,495336,461258,0,34078
BLACKROCK INCOME OPP TRUST I,336,34593,26143,0,8450
BLACKROCK INCOME TR INC,319,49199,49199,0,0
BLACKROCK INTL GRWTH & INC T,139,17049,17049,0,0
BLACKROCK KELSO CAPITAL CORP,2257,241851,241851,0,0
BLACKROCK LONG-TERM MUNI ADV,383,37590,37590,0,0
BLACKROCK MUNI INCOME INV QL,354,27497,27497,0,0
